"","Estado","fuente","observaciones","ano","genero"
"1","Aguascalientes","SSA",690,2013,"masculino"
"2","Baja California","SSA",2303,2013,"masculino"
"3","Baja California Sur","SSA",371,2013,"masculino"
"4","Campeche","SSA",321,2013,"masculino"
"5","Coahuila","SSA",377,2013,"masculino"
"6","Colima","SSA",317,2013,"masculino"
"7","Chiapas","SSA",1800,2013,"masculino"
"8","Chihuahua","SSA",1709,2013,"masculino"
"9","Distrito Federal","SSA",5136,2013,"masculino"
"10","Durango","SSA",342,2013,"masculino"
"11","Guanajuato","SSA",2598,2013,"masculino"
"12","Guerrero","SSA",2904,2013,"masculino"
"13","Hidalgo","SSA",1555,2013,"masculino"
"14","Jalisco","SSA",2687,2013,"masculino"
"15","Mexico","SSA",10869,2013,"masculino"
"16","Michoacan","SSA",1331,2013,"masculino"
"17","Morelos","SSA",985,2013,"masculino"
"18","Nayarit","SSA",366,2013,"masculino"
"19","Nuevo Leon","SSA",1236,2013,"masculino"
"20","Oaxaca","SSA",1879,2013,"masculino"
"21","Puebla","SSA",1755,2013,"masculino"
"22","Queretaro","SSA",992,2013,"masculino"
"23","Quintana Roo","SSA",613,2013,"masculino"
"24","San Luis Potosi","SSA",1139,2013,"masculino"
"25","Sinaloa","SSA",3486,2013,"masculino"
"26","Sonora","SSA",903,2013,"masculino"
"27","Tabasco","SSA",993,2013,"masculino"
"28","Tamaulipas","SSA",1615,2013,"masculino"
"29","Tlaxcala","SSA",481,2013,"masculino"
"30","Veracruz","SSA",2275,2013,"masculino"
"31","Yucatan","SSA",503,2013,"masculino"
"32","Zacatecas","SSA",578,2013,"masculino"
"33","Aguascalientes","IMMS",831,2013,"masculino"
"34","Baja California","IMMS",3533,2013,"masculino"
"35","Baja California Sur","IMMS",518,2013,"masculino"
"36","Campeche","IMMS",247,2013,"masculino"
"37","Coahuila","IMMS",2030,2013,"masculino"
"38","Colima","IMMS",459,2013,"masculino"
"39","Chiapas","IMMS",1387,2013,"masculino"
"40","Chihuahua","IMMS",2155,2013,"masculino"
"41","Distrito Federal","IMMS",2756,2013,"masculino"
"42","Durango","IMMS",934,2013,"masculino"
"43","Guanajuato","IMMS",2307,2013,"masculino"
"44","Guerrero","IMMS",1205,2013,"masculino"
"45","Hidalgo","IMMS",872,2013,"masculino"
"46","Jalisco","IMMS",4162,2013,"masculino"
"47","Mexico","IMMS",5076,2013,"masculino"
"48","Michoacan","IMMS",1660,2013,"masculino"
"49","Morelos","IMMS",2236,2013,"masculino"
"50","Nayarit","IMMS",444,2013,"masculino"
"51","Nuevo Leon","IMMS",4272,2013,"masculino"
"52","Oaxaca","IMMS",743,2013,"masculino"
"53","Puebla","IMMS",2038,2013,"masculino"
"54","Queretaro","IMMS",810,2013,"masculino"
"55","Quintana Roo","IMMS",640,2013,"masculino"
"56","San Luis Potosi","IMMS",2090,2013,"masculino"
"57","Sinaloa","IMMS",2136,2013,"masculino"
"58","Sonora","IMMS",2746,2013,"masculino"
"59","Tabasco","IMMS",1071,2013,"masculino"
"60","Tamaulipas","IMMS",2166,2013,"masculino"
"61","Tlaxcala","IMMS",708,2013,"masculino"
"62","Veracruz","IMMS",4670,2013,"masculino"
"63","Yucatan","IMMS",754,2013,"masculino"
"64","Zacatecas","IMMS",627,2013,"masculino"
"65","Aguascalientes","ISSSTE",626,2013,"masculino"
"66","Baja California","ISSSTE",556,2013,"masculino"
"67","Baja California Sur","ISSSTE",83,2013,"masculino"
"68","Campeche","ISSSTE",115,2013,"masculino"
"69","Coahuila","ISSSTE",1282,2013,"masculino"
"70","Colima","ISSSTE",24,2013,"masculino"
"71","Chiapas","ISSSTE",775,2013,"masculino"
"72","Chihuahua","ISSSTE",447,2013,"masculino"
"73","Distrito Federal","ISSSTE",2871,2013,"masculino"
"74","Durango","ISSSTE",1591,2013,"masculino"
"75","Guanajuato","ISSSTE",369,2013,"masculino"
"76","Guerrero","ISSSTE",973,2013,"masculino"
"77","Hidalgo","ISSSTE",556,2013,"masculino"
"78","Jalisco","ISSSTE",1630,2013,"masculino"
"79","Mexico","ISSSTE",2740,2013,"masculino"
"80","Michoacan","ISSSTE",1749,2013,"masculino"
"81","Morelos","ISSSTE",1664,2013,"masculino"
"82","Nayarit","ISSSTE",593,2013,"masculino"
"83","Nuevo Leon","ISSSTE",170,2013,"masculino"
"84","Oaxaca","ISSSTE",898,2013,"masculino"
"85","Puebla","ISSSTE",417,2013,"masculino"
"86","Queretaro","ISSSTE",102,2013,"masculino"
"87","Quintana Roo","ISSSTE",155,2013,"masculino"
"88","San Luis Potosi","ISSSTE",751,2013,"masculino"
"89","Sinaloa","ISSSTE",351,2013,"masculino"
"90","Sonora","ISSSTE",475,2013,"masculino"
"91","Tabasco","ISSSTE",424,2013,"masculino"
"92","Tamaulipas","ISSSTE",1871,2013,"masculino"
"93","Tlaxcala","ISSSTE",294,2013,"masculino"
"94","Veracruz","ISSSTE",1871,2013,"masculino"
"95","Yucatan","ISSSTE",608,2013,"masculino"
"96","Zacatecas","ISSSTE",135,2013,"masculino"
"97","Aguascalientes","IMMS",NA,2013,"masculino"
"98","Baja California","IMMS",38,2013,"masculino"
"99","Baja California Sur","IMMS",NA,2013,"masculino"
"100","Campeche","IMMS",71,2013,"masculino"
"101","Coahuila","IMMS",122,2013,"masculino"
"102","Colima","IMMS",NA,2013,"masculino"
"103","Chiapas","IMMS",365,2013,"masculino"
"104","Chihuahua","IMMS",115,2013,"masculino"
"105","Distrito Federal","IMMS",23,2013,"masculino"
"106","Durango","IMMS",175,2013,"masculino"
"107","Guanajuato","IMMS",32,2013,"masculino"
"108","Guerrero","IMMS",80,2013,"masculino"
"109","Hidalgo","IMMS",229,2013,"masculino"
"110","Jalisco","IMMS",10,2013,"masculino"
"111","Mexico","IMMS",55,2013,"masculino"
"112","Michoacan","IMMS",381,2013,"masculino"
"113","Morelos","IMMS",8,2013,"masculino"
"114","Nayarit","IMMS",65,2013,"masculino"
"115","Nuevo Leon","IMMS",1,2013,"masculino"
"116","Oaxaca","IMMS",552,2013,"masculino"
"117","Puebla","IMMS",338,2013,"masculino"
"118","Queretaro","IMMS",5,2013,"masculino"
"119","Quintana Roo","IMMS",NA,2013,"masculino"
"120","San Luis Potosi","IMMS",423,2013,"masculino"
"121","Sinaloa","IMMS",136,2013,"masculino"
"122","Sonora","IMMS",0,2013,"masculino"
"123","Tabasco","IMMS",NA,2013,"masculino"
"124","Tamaulipas","IMMS",119,2013,"masculino"
"125","Tlaxcala","IMMS",11,2013,"masculino"
"126","Veracruz","IMMS",719,2013,"masculino"
"127","Yucatan","IMMS",244,2013,"masculino"
"128","Zacatecas","IMMS",213,2013,"masculino"
"129","Aguascalientes","DIF",6,2013,"masculino"
"130","Baja California","DIF",NA,2013,"masculino"
"131","Baja California Sur","DIF",NA,2013,"masculino"
"132","Campeche","DIF",0,2013,"masculino"
"133","Coahuila","DIF",154,2013,"masculino"
"134","Colima","DIF",13,2013,"masculino"
"135","Chiapas","DIF",NA,2013,"masculino"
"136","Chihuahua","DIF",NA,2013,"masculino"
"137","Distrito Federal","DIF",79,2013,"masculino"
"138","Durango","DIF",0,2013,"masculino"
"139","Guanajuato","DIF",NA,2013,"masculino"
"140","Guerrero","DIF",NA,2013,"masculino"
"141","Hidalgo","DIF",0,2013,"masculino"
"142","Jalisco","DIF",44,2013,"masculino"
"143","Mexico","DIF",1584,2013,"masculino"
"144","Michoacan","DIF",NA,2013,"masculino"
"145","Morelos","DIF",NA,2013,"masculino"
"146","Nayarit","DIF",40,2013,"masculino"
"147","Nuevo Leon","DIF",NA,2013,"masculino"
"148","Oaxaca","DIF",21,2013,"masculino"
"149","Puebla","DIF",19,2013,"masculino"
"150","Queretaro","DIF",3,2013,"masculino"
"151","Quintana Roo","DIF",NA,2013,"masculino"
"152","San Luis Potosi","DIF",NA,2013,"masculino"
"153","Sinaloa","DIF",70,2013,"masculino"
"154","Sonora","DIF",NA,2013,"masculino"
"155","Tabasco","DIF",NA,2013,"masculino"
"156","Tamaulipas","DIF",1,2013,"masculino"
"157","Tlaxcala","DIF",61,2013,"masculino"
"158","Veracruz","DIF",59,2013,"masculino"
"159","Yucatan","DIF",3,2013,"masculino"
"160","Zacatecas","DIF",30,2013,"masculino"
"161","Aguascalientes","PEMEX",NA,2013,"masculino"
"162","Baja California","PEMEX",NA,2013,"masculino"
"163","Baja California Sur","PEMEX",NA,2013,"masculino"
"164","Campeche","PEMEX",20,2013,"masculino"
"165","Coahuila","PEMEX",NA,2013,"masculino"
"166","Colima","PEMEX",NA,2013,"masculino"
"167","Chiapas","PEMEX",20,2013,"masculino"
"168","Chihuahua","PEMEX",NA,2013,"masculino"
"169","Distrito Federal","PEMEX",105,2013,"masculino"
"170","Durango","PEMEX",NA,2013,"masculino"
"171","Guanajuato","PEMEX",76,2013,"masculino"
"172","Guerrero","PEMEX",NA,2013,"masculino"
"173","Hidalgo","PEMEX",46,2013,"masculino"
"174","Jalisco","PEMEX",11,2013,"masculino"
"175","Mexico","PEMEX",NA,2013,"masculino"
"176","Michoacan","PEMEX",NA,2013,"masculino"
"177","Morelos","PEMEX",NA,2013,"masculino"
"178","Nayarit","PEMEX",NA,2013,"masculino"
"179","Nuevo Leon","PEMEX",50,2013,"masculino"
"180","Oaxaca","PEMEX",115,2013,"masculino"
"181","Puebla","PEMEX",21,2013,"masculino"
"182","Queretaro","PEMEX",NA,2013,"masculino"
"183","Quintana Roo","PEMEX",NA,2013,"masculino"
"184","San Luis Potosi","PEMEX",4,2013,"masculino"
"185","Sinaloa","PEMEX",4,2013,"masculino"
"186","Sonora","PEMEX",NA,2013,"masculino"
"187","Tabasco","PEMEX",193,2013,"masculino"
"188","Tamaulipas","PEMEX",179,2013,"masculino"
"189","Tlaxcala","PEMEX",NA,2013,"masculino"
"190","Veracruz","PEMEX",426,2013,"masculino"
"191","Yucatan","PEMEX",NA,2013,"masculino"
"192","Zacatecas","PEMEX",NA,2013,"masculino"
"193","Aguascalientes","SEDENA",1,2013,"masculino"
"194","Baja California","SEDENA",7,2013,"masculino"
"195","Baja California Sur","SEDENA",1,2013,"masculino"
"196","Campeche","SEDENA",0,2013,"masculino"
"197","Coahuila","SEDENA",15,2013,"masculino"
"198","Colima","SEDENA",1,2013,"masculino"
"199","Chiapas","SEDENA",0,2013,"masculino"
"200","Chihuahua","SEDENA",12,2013,"masculino"
"201","Distrito Federal","SEDENA",81,2013,"masculino"
"202","Durango","SEDENA",67,2013,"masculino"
"203","Guanajuato","SEDENA",25,2013,"masculino"
"204","Guerrero","SEDENA",16,2013,"masculino"
"205","Hidalgo","SEDENA",0,2013,"masculino"
"206","Jalisco","SEDENA",11,2013,"masculino"
"207","Mexico","SEDENA",72,2013,"masculino"
"208","Michoacan","SEDENA",0,2013,"masculino"
"209","Morelos","SEDENA",13,2013,"masculino"
"210","Nayarit","SEDENA",0,2013,"masculino"
"211","Nuevo Leon","SEDENA",2,2013,"masculino"
"212","Oaxaca","SEDENA",0,2013,"masculino"
"213","Puebla","SEDENA",0,2013,"masculino"
"214","Queretaro","SEDENA",7,2013,"masculino"
"215","Quintana Roo","SEDENA",0,2013,"masculino"
"216","San Luis Potosi","SEDENA",8,2013,"masculino"
"217","Sinaloa","SEDENA",4,2013,"masculino"
"218","Sonora","SEDENA",22,2013,"masculino"
"219","Tabasco","SEDENA",8,2013,"masculino"
"220","Tamaulipas","SEDENA",0,2013,"masculino"
"221","Tlaxcala","SEDENA",2,2013,"masculino"
"222","Veracruz","SEDENA",167,2013,"masculino"
"223","Yucatan","SEDENA",0,2013,"masculino"
"224","Zacatecas","SEDENA",4,2013,"masculino"
"225","Aguascalientes","SEMAR",NA,2013,"masculino"
"226","Baja California","SEMAR",29,2013,"masculino"
"227","Baja California Sur","SEMAR",0,2013,"masculino"
"228","Campeche","SEMAR",15,2013,"masculino"
"229","Coahuila","SEMAR",NA,2013,"masculino"
"230","Colima","SEMAR",12,2013,"masculino"
"231","Chiapas","SEMAR",12,2013,"masculino"
"232","Chihuahua","SEMAR",NA,2013,"masculino"
"233","Distrito Federal","SEMAR",34,2013,"masculino"
"234","Durango","SEMAR",0,2013,"masculino"
"235","Guanajuato","SEMAR",NA,2013,"masculino"
"236","Guerrero","SEMAR",37,2013,"masculino"
"237","Hidalgo","SEMAR",NA,2013,"masculino"
"238","Jalisco","SEMAR",1,2013,"masculino"
"239","Mexico","SEMAR",NA,2013,"masculino"
"240","Michoacan","SEMAR",14,2013,"masculino"
"241","Morelos","SEMAR",NA,2013,"masculino"
"242","Nayarit","SEMAR",0,2013,"masculino"
"243","Nuevo Leon","SEMAR",NA,2013,"masculino"
"244","Oaxaca","SEMAR",8,2013,"masculino"
"245","Puebla","SEMAR",NA,2013,"masculino"
"246","Queretaro","SEMAR",NA,2013,"masculino"
"247","Quintana Roo","SEMAR",2,2013,"masculino"
"248","San Luis Potosi","SEMAR",NA,2013,"masculino"
"249","Sinaloa","SEMAR",16,2013,"masculino"
"250","Sonora","SEMAR",1,2013,"masculino"
"251","Tabasco","SEMAR",0,2013,"masculino"
"252","Tamaulipas","SEMAR",28,2013,"masculino"
"253","Tlaxcala","SEMAR",NA,2013,"masculino"
"254","Veracruz","SEMAR",52,2013,"masculino"
"255","Yucatan","SEMAR",0,2013,"masculino"
"256","Zacatecas","SEMAR",NA,2013,"masculino"
"257","Aguascalientes","OTRAS",838,2013,"masculino"
"258","Baja California","OTRAS",1291,2013,"masculino"
"259","Baja California Sur","OTRAS",NA,2013,"masculino"
"260","Campeche","OTRAS",0,2013,"masculino"
"261","Coahuila","OTRAS",538,2013,"masculino"
"262","Colima","OTRAS",44,2013,"masculino"
"263","Chiapas","OTRAS",120,2013,"masculino"
"264","Chihuahua","OTRAS",1418,2013,"masculino"
"265","Distrito Federal","OTRAS",760,2013,"masculino"
"266","Durango","OTRAS",336,2013,"masculino"
"267","Guanajuato","OTRAS",435,2013,"masculino"
"268","Guerrero","OTRAS",0,2013,"masculino"
"269","Hidalgo","OTRAS",19,2013,"masculino"
"270","Jalisco","OTRAS",2996,2013,"masculino"
"271","Mexico","OTRAS",3700,2013,"masculino"
"272","Michoacan","OTRAS",NA,2013,"masculino"
"273","Morelos","OTRAS",NA,2013,"masculino"
"274","Nayarit","OTRAS",27,2013,"masculino"
"275","Nuevo Leon","OTRAS",1328,2013,"masculino"
"276","Oaxaca","OTRAS",65,2013,"masculino"
"277","Puebla","OTRAS",765,2013,"masculino"
"278","Queretaro","OTRAS",125,2013,"masculino"
"279","Quintana Roo","OTRAS",0,2013,"masculino"
"280","San Luis Potosi","OTRAS",158,2013,"masculino"
"281","Sinaloa","OTRAS",887,2013,"masculino"
"282","Sonora","OTRAS",156,2013,"masculino"
"283","Tabasco","OTRAS",410,2013,"masculino"
"284","Tamaulipas","OTRAS",87,2013,"masculino"
"285","Tlaxcala","OTRAS",0,2013,"masculino"
"286","Veracruz","OTRAS",21,2013,"masculino"
"287","Yucatan","OTRAS",254,2013,"masculino"
"288","Zacatecas","OTRAS",90,2013,"masculino"
"289","Aguascalientes","SSA",808,2012,"masculino"
"290","Baja California","SSA",2509,2012,"masculino"
"291","Baja California Sur","SSA",583,2012,"masculino"
"292","Campeche","SSA",338,2012,"masculino"
"293","Coahuila","SSA",561,2012,"masculino"
"294","Colima","SSA",346,2012,"masculino"
"295","Chiapas","SSA",1587,2012,"masculino"
"296","Chihuahua","SSA",2118,2012,"masculino"
"297","Distrito Federal","SSA",5009,2012,"masculino"
"298","Durango","SSA",380,2012,"masculino"
"299","Guanajuato","SSA",2908,2012,"masculino"
"300","Guerrero","SSA",2083,2012,"masculino"
"301","Hidalgo","SSA",1665,2012,"masculino"
"302","Jalisco","SSA",2489,2012,"masculino"
"303","Mexico","SSA",10601,2012,"masculino"
"304","Michoacan","SSA",1268,2012,"masculino"
"305","Morelos","SSA",909,2012,"masculino"
"306","Nayarit","SSA",423,2012,"masculino"
"307","Nuevo Leon","SSA",1181,2012,"masculino"
"308","Oaxaca","SSA",1648,2012,"masculino"
"309","Puebla","SSA",1800,2012,"masculino"
"310","Queretaro","SSA",1053,2012,"masculino"
"311","Quintana Roo","SSA",515,2012,"masculino"
"312","San Luis Potosi","SSA",1545,2012,"masculino"
"313","Sinaloa","SSA",3562,2012,"masculino"
"314","Sonora","SSA",1096,2012,"masculino"
"315","Tabasco","SSA",1067,2012,"masculino"
"316","Tamaulipas","SSA",1776,2012,"masculino"
"317","Tlaxcala","SSA",428,2012,"masculino"
"318","Veracruz","SSA",2451,2012,"masculino"
"319","Yucatan","SSA",637,2012,"masculino"
"320","Zacatecas","SSA",668,2012,"masculino"
"321","Aguascalientes","IMMS",731,2012,"masculino"
"322","Baja California","IMMS",3588,2012,"masculino"
"323","Baja California Sur","IMMS",430,2012,"masculino"
"324","Campeche","IMMS",288,2012,"masculino"
"325","Coahuila","IMMS",1708,2012,"masculino"
"326","Colima","IMMS",499,2012,"masculino"
"327","Chiapas","IMMS",1556,2012,"masculino"
"328","Chihuahua","IMMS",3048,2012,"masculino"
"329","Distrito Federal","IMMS",3045,2012,"masculino"
"330","Durango","IMMS",1171,2012,"masculino"
"331","Guanajuato","IMMS",2361,2012,"masculino"
"332","Guerrero","IMMS",1565,2012,"masculino"
"333","Hidalgo","IMMS",899,2012,"masculino"
"334","Jalisco","IMMS",5630,2012,"masculino"
"335","Mexico","IMMS",5300,2012,"masculino"
"336","Michoacan","IMMS",1694,2012,"masculino"
"337","Morelos","IMMS",2048,2012,"masculino"
"338","Nayarit","IMMS",431,2012,"masculino"
"339","Nuevo Leon","IMMS",4134,2012,"masculino"
"340","Oaxaca","IMMS",945,2012,"masculino"
"341","Puebla","IMMS",2331,2012,"masculino"
"342","Queretaro","IMMS",868,2012,"masculino"
"343","Quintana Roo","IMMS",528,2012,"masculino"
"344","San Luis Potosi","IMMS",1826,2012,"masculino"
"345","Sinaloa","IMMS",2182,2012,"masculino"
"346","Sonora","IMMS",2573,2012,"masculino"
"347","Tabasco","IMMS",1341,2012,"masculino"
"348","Tamaulipas","IMMS",2251,2012,"masculino"
"349","Tlaxcala","IMMS",771,2012,"masculino"
"350","Veracruz","IMMS",4809,2012,"masculino"
"351","Yucatan","IMMS",987,2012,"masculino"
"352","Zacatecas","IMMS",565,2012,"masculino"
"353","Aguascalientes","ISSSTE",700,2012,"masculino"
"354","Baja California","ISSSTE",444,2012,"masculino"
"355","Baja California Sur","ISSSTE",86,2012,"masculino"
"356","Campeche","ISSSTE",75,2012,"masculino"
"357","Coahuila","ISSSTE",3119,2012,"masculino"
"358","Colima","ISSSTE",5,2012,"masculino"
"359","Chiapas","ISSSTE",934,2012,"masculino"
"360","Chihuahua","ISSSTE",502,2012,"masculino"
"361","Distrito Federal","ISSSTE",3001,2012,"masculino"
"362","Durango","ISSSTE",1029,2012,"masculino"
"363","Guanajuato","ISSSTE",427,2012,"masculino"
"364","Guerrero","ISSSTE",1241,2012,"masculino"
"365","Hidalgo","ISSSTE",697,2012,"masculino"
"366","Jalisco","ISSSTE",1640,2012,"masculino"
"367","Mexico","ISSSTE",2778,2012,"masculino"
"368","Michoacan","ISSSTE",1567,2012,"masculino"
"369","Morelos","ISSSTE",1323,2012,"masculino"
"370","Nayarit","ISSSTE",843,2012,"masculino"
"371","Nuevo Leon","ISSSTE",341,2012,"masculino"
"372","Oaxaca","ISSSTE",1326,2012,"masculino"
"373","Puebla","ISSSTE",589,2012,"masculino"
"374","Queretaro","ISSSTE",189,2012,"masculino"
"375","Quintana Roo","ISSSTE",179,2012,"masculino"
"376","San Luis Potosi","ISSSTE",711,2012,"masculino"
"377","Sinaloa","ISSSTE",359,2012,"masculino"
"378","Sonora","ISSSTE",475,2012,"masculino"
"379","Tabasco","ISSSTE",443,2012,"masculino"
"380","Tamaulipas","ISSSTE",1758,2012,"masculino"
"381","Tlaxcala","ISSSTE",335,2012,"masculino"
"382","Veracruz","ISSSTE",1411,2012,"masculino"
"383","Yucatan","ISSSTE",499,2012,"masculino"
"384","Zacatecas","ISSSTE",115,2012,"masculino"
"385","Aguascalientes","IMMS",NA,2012,"masculino"
"386","Baja California","IMMS",32,2012,"masculino"
"387","Baja California Sur","IMMS",NA,2012,"masculino"
"388","Campeche","IMMS",85,2012,"masculino"
"389","Coahuila","IMMS",143,2012,"masculino"
"390","Colima","IMMS",NA,2012,"masculino"
"391","Chiapas","IMMS",429,2012,"masculino"
"392","Chihuahua","IMMS",124,2012,"masculino"
"393","Distrito Federal","IMMS",26,2012,"masculino"
"394","Durango","IMMS",153,2012,"masculino"
"395","Guanajuato","IMMS",13,2012,"masculino"
"396","Guerrero","IMMS",102,2012,"masculino"
"397","Hidalgo","IMMS",251,2012,"masculino"
"398","Jalisco","IMMS",14,2012,"masculino"
"399","Mexico","IMMS",51,2012,"masculino"
"400","Michoacan","IMMS",486,2012,"masculino"
"401","Morelos","IMMS",6,2012,"masculino"
"402","Nayarit","IMMS",106,2012,"masculino"
"403","Nuevo Leon","IMMS",3,2012,"masculino"
"404","Oaxaca","IMMS",695,2012,"masculino"
"405","Puebla","IMMS",492,2012,"masculino"
"406","Queretaro","IMMS",2,2012,"masculino"
"407","Quintana Roo","IMMS",NA,2012,"masculino"
"408","San Luis Potosi","IMMS",447,2012,"masculino"
"409","Sinaloa","IMMS",159,2012,"masculino"
"410","Sonora","IMMS",4,2012,"masculino"
"411","Tabasco","IMMS",NA,2012,"masculino"
"412","Tamaulipas","IMMS",119,2012,"masculino"
"413","Tlaxcala","IMMS",17,2012,"masculino"
"414","Veracruz","IMMS",702,2012,"masculino"
"415","Yucatan","IMMS",217,2012,"masculino"
"416","Zacatecas","IMMS",262,2012,"masculino"
"417","Aguascalientes","DIF",7,2012,"masculino"
"418","Baja California","DIF",NA,2012,"masculino"
"419","Baja California Sur","DIF",NA,2012,"masculino"
"420","Campeche","DIF",0,2012,"masculino"
"421","Coahuila","DIF",83,2012,"masculino"
"422","Colima","DIF",1,2012,"masculino"
"423","Chiapas","DIF",NA,2012,"masculino"
"424","Chihuahua","DIF",NA,2012,"masculino"
"425","Distrito Federal","DIF",67,2012,"masculino"
"426","Durango","DIF",0,2012,"masculino"
"427","Guanajuato","DIF",NA,2012,"masculino"
"428","Guerrero","DIF",NA,2012,"masculino"
"429","Hidalgo","DIF",0,2012,"masculino"
"430","Jalisco","DIF",27,2012,"masculino"
"431","Mexico","DIF",1662,2012,"masculino"
"432","Michoacan","DIF",NA,2012,"masculino"
"433","Morelos","DIF",NA,2012,"masculino"
"434","Nayarit","DIF",31,2012,"masculino"
"435","Nuevo Leon","DIF",NA,2012,"masculino"
"436","Oaxaca","DIF",29,2012,"masculino"
"437","Puebla","DIF",26,2012,"masculino"
"438","Queretaro","DIF",5,2012,"masculino"
"439","Quintana Roo","DIF",NA,2012,"masculino"
"440","San Luis Potosi","DIF",NA,2012,"masculino"
"441","Sinaloa","DIF",134,2012,"masculino"
"442","Sonora","DIF",NA,2012,"masculino"
"443","Tabasco","DIF",NA,2012,"masculino"
"444","Tamaulipas","DIF",2,2012,"masculino"
"445","Tlaxcala","DIF",142,2012,"masculino"
"446","Veracruz","DIF",48,2012,"masculino"
"447","Yucatan","DIF",4,2012,"masculino"
"448","Zacatecas","DIF",32,2012,"masculino"
"449","Aguascalientes","PEMEX",NA,2012,"masculino"
"450","Baja California","PEMEX",NA,2012,"masculino"
"451","Baja California Sur","PEMEX",NA,2012,"masculino"
"452","Campeche","PEMEX",36,2012,"masculino"
"453","Coahuila","PEMEX",NA,2012,"masculino"
"454","Colima","PEMEX",NA,2012,"masculino"
"455","Chiapas","PEMEX",28,2012,"masculino"
"456","Chihuahua","PEMEX",NA,2012,"masculino"
"457","Distrito Federal","PEMEX",180,2012,"masculino"
"458","Durango","PEMEX",NA,2012,"masculino"
"459","Guanajuato","PEMEX",65,2012,"masculino"
"460","Guerrero","PEMEX",NA,2012,"masculino"
"461","Hidalgo","PEMEX",68,2012,"masculino"
"462","Jalisco","PEMEX",11,2012,"masculino"
"463","Mexico","PEMEX",NA,2012,"masculino"
"464","Michoacan","PEMEX",NA,2012,"masculino"
"465","Morelos","PEMEX",NA,2012,"masculino"
"466","Nayarit","PEMEX",NA,2012,"masculino"
"467","Nuevo Leon","PEMEX",57,2012,"masculino"
"468","Oaxaca","PEMEX",74,2012,"masculino"
"469","Puebla","PEMEX",30,2012,"masculino"
"470","Queretaro","PEMEX",NA,2012,"masculino"
"471","Quintana Roo","PEMEX",NA,2012,"masculino"
"472","San Luis Potosi","PEMEX",6,2012,"masculino"
"473","Sinaloa","PEMEX",2,2012,"masculino"
"474","Sonora","PEMEX",NA,2012,"masculino"
"475","Tabasco","PEMEX",252,2012,"masculino"
"476","Tamaulipas","PEMEX",179,2012,"masculino"
"477","Tlaxcala","PEMEX",NA,2012,"masculino"
"478","Veracruz","PEMEX",415,2012,"masculino"
"479","Yucatan","PEMEX",NA,2012,"masculino"
"480","Zacatecas","PEMEX",NA,2012,"masculino"
"481","Aguascalientes","SEDENA",0,2012,"masculino"
"482","Baja California","SEDENA",5,2012,"masculino"
"483","Baja California Sur","SEDENA",1,2012,"masculino"
"484","Campeche","SEDENA",0,2012,"masculino"
"485","Coahuila","SEDENA",4,2012,"masculino"
"486","Colima","SEDENA",1,2012,"masculino"
"487","Chiapas","SEDENA",2,2012,"masculino"
"488","Chihuahua","SEDENA",94,2012,"masculino"
"489","Distrito Federal","SEDENA",170,2012,"masculino"
"490","Durango","SEDENA",10,2012,"masculino"
"491","Guanajuato","SEDENA",59,2012,"masculino"
"492","Guerrero","SEDENA",22,2012,"masculino"
"493","Hidalgo","SEDENA",0,2012,"masculino"
"494","Jalisco","SEDENA",94,2012,"masculino"
"495","Mexico","SEDENA",178,2012,"masculino"
"496","Michoacan","SEDENA",1,2012,"masculino"
"497","Morelos","SEDENA",8,2012,"masculino"
"498","Nayarit","SEDENA",0,2012,"masculino"
"499","Nuevo Leon","SEDENA",34,2012,"masculino"
"500","Oaxaca","SEDENA",11,2012,"masculino"
"501","Puebla","SEDENA",4,2012,"masculino"
"502","Queretaro","SEDENA",14,2012,"masculino"
"503","Quintana Roo","SEDENA",1,2012,"masculino"
"504","San Luis Potosi","SEDENA",18,2012,"masculino"
"505","Sinaloa","SEDENA",2,2012,"masculino"
"506","Sonora","SEDENA",3,2012,"masculino"
"507","Tabasco","SEDENA",18,2012,"masculino"
"508","Tamaulipas","SEDENA",9,2012,"masculino"
"509","Tlaxcala","SEDENA",4,2012,"masculino"
"510","Veracruz","SEDENA",149,2012,"masculino"
"511","Yucatan","SEDENA",67,2012,"masculino"
"512","Zacatecas","SEDENA",15,2012,"masculino"
"513","Aguascalientes","SEMAR",NA,2012,"masculino"
"514","Baja California","SEMAR",9,2012,"masculino"
"515","Baja California Sur","SEMAR",1,2012,"masculino"
"516","Campeche","SEMAR",7,2012,"masculino"
"517","Coahuila","SEMAR",NA,2012,"masculino"
"518","Colima","SEMAR",2,2012,"masculino"
"519","Chiapas","SEMAR",9,2012,"masculino"
"520","Chihuahua","SEMAR",NA,2012,"masculino"
"521","Distrito Federal","SEMAR",57,2012,"masculino"
"522","Durango","SEMAR",0,2012,"masculino"
"523","Guanajuato","SEMAR",NA,2012,"masculino"
"524","Guerrero","SEMAR",38,2012,"masculino"
"525","Hidalgo","SEMAR",NA,2012,"masculino"
"526","Jalisco","SEMAR",0,2012,"masculino"
"527","Mexico","SEMAR",NA,2012,"masculino"
"528","Michoacan","SEMAR",4,2012,"masculino"
"529","Morelos","SEMAR",NA,2012,"masculino"
"530","Nayarit","SEMAR",2,2012,"masculino"
"531","Nuevo Leon","SEMAR",NA,2012,"masculino"
"532","Oaxaca","SEMAR",10,2012,"masculino"
"533","Puebla","SEMAR",NA,2012,"masculino"
