Estado,< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,Ign.
Aguascalientes,0,0,1,1,7,31,1 081,673,1 277,619,804,5
Baja California,0,3,16,33,78,274,3 257,1 841,3 888,1 784,2 324,41
Baja California Sur,0,0,1,2,10,33,588,274,551,193,329,0
Campeche,0,0,1,2,2,25,622,380,595,249,323,1
Coahuila,0,0,1,3,19,122,3 163,2 150,4 596,2 329,3 271,20
Colima,0,0,0,0,0,16,448,254,601,239,473,0
Chiapas,3,5,4,5,22,72,2 347,1 652,3 015,1 289,2 140,33
Chihuahua,0,2,3,4,17,101,2 877,1 618,3 707,1 678,2 994,96
Distrito Federal,0,0,2,6,50,357,7 646,5 909,11 458,5 552,8 930,32
Durango,0,0,0,0,0,73,1 510,1 166,2 486,1 327,2 104,8
Guanajuato,0,0,0,9,15,191,4 513,2 556,5 374,2 436,4 343,8
Guerrero,5,1,5,4,16,106,3 044,1 904,3 682,1 558,2 861,27
Hidalgo,0,0,0,2,10,35,1 260,913,1 576,843,1 449,2
Jalisco,27,45,47,75,135,307,6 341,3 911,9 919,4 899,9 256,144
México,5,3,7,22,74,311,9 290,6 640,13 222,6 603,9 625,185
Michoacán,0,0,0,7,14,42,1 963,1 317,2 995,1 602,2 996,6
Morelos,0,0,1,1,4,81,1 818,1 548,3 069,1 657,2 496,44
Nayarit,0,0,0,0,8,30,676,505,1 011,582,1 046,4
Nuevo León,2,2,6,11,49,209,3 631,2 020,3 949,1 817,2 681,46
Oaxaca,0,1,1,2,15,149,2 776,1 860,3 197,1 470,2 206,13
Puebla,1,2,4,19,55,97,3 233,2 132,5 250,2 419,4 964,10
Querétaro,0,0,0,0,1,21,1 206,591,1 209,461,815,0
Quintana Roo,0,0,0,1,0,23,619,282,475,176,231,2
San Luis Potosí,0,0,0,2,15,61,2 320,1 428,3 035,1 355,2 376,117
Sinaloa,0,1,4,19,24,89,2 494,1 776,4 064,1 900,3 077,24
Sonora,0,0,1,0,6,28,1 635,979,2 272,885,1 755,2
Tabasco,1,1,5,3,19,75,2 058,1 132,1 918,659,1 026,11
Tamaulipas,10,15,12,11,18,111,3 421,1 916,4 039,1 736,2 760,22
Tlaxcala,0,0,0,1,0,14,660,490,872,365,688,12
Veracruz,0,1,2,7,23,154,4 426,2 568,5 330,2 181,3 350,11
Yucatán,0,0,2,14,33,114,1 668,1 075,2 565,1 099,2 018,21
Zacatecas,0,0,0,1,0,30,847,543,1 125,494,830,3
