Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Baja California ,  387 ,  330 ,  430 ,  277 ,  301 ,  303 ,  252 ,  249 ,  279 ,  288 ,  270 ,  232
Baja California Sur ,  966 ,  953 , 1 336 ,  902 ,  932 , 1 267 , 1 015 , 1 080 , 1 274 , 1 194 , 1 090 , 1 056
Campeche ,  184 ,  197 ,  211 ,  144 ,  189 ,  246 ,  174 ,  159 ,  197 ,  149 ,  199 ,  184
Coahuila ,  180 ,  208 ,  253 ,  121 ,  148 ,  236 ,  134 ,  181 ,  243 ,  207 ,  190 ,  207
Colima ,1 526 , 1 356 , 1 710 , 1 100 , 1 259 , 1 648 , 1 196 , 1 266 , 1 525 , 1 267 , 1 102 , 1 373
Chiapas ,  154 ,  131 ,  203 ,  145 ,  160 ,  204 ,  134 ,  234 ,  243 ,  168 ,  132 ,  128
Chihuahua ,  953 , 1 030 , 1 179 , 1 003 , 1 056 , 1 224 ,  697 ,  998 , 1 049 ,  856 ,  773 ,  712
Distrito Federal ,1 489 , 1 572 , 1 904 , 1 401 , 1 710 , 2 060 , 1 581 , 1 619 , 1 871 , 1 445 , 1 436 , 1 548
Durango ,2 823 , 3 085 , 3 928 , 2 294 , 2 633 , 3 693 , 2 892 , 2 871 , 3 059 , 2 606 , 2 490 , 2 487
Guanajuato ,  433 ,  511 ,  558 ,  467 ,  602 ,  662 ,  544 ,  496 ,  869 ,  714 ,  588 ,  585
Guerrero ,1 507 , 1 455 , 1 918 , 1 324 , 1 555 , 2 046 , 1 447 , 1 348 , 1 665 , 1 427 , 1 299 , 1 353
Hidalgo ,1 117 , 1 052 , 1 397 ,  977 , 1 053 , 1 280 ,  955 ,  976 , 1 260 , 1 122 ,  958 ,  823
Jalisco ,  483 ,  553 ,  705 ,  641 ,  742 ,  917 ,  648 ,  752 ,  910 ,  524 ,  545 ,  475
México ,2 616 , 2 824 , 3 304 , 2 309 , 2 592 , 3 264 , 2 360 , 2 459 , 2 995 , 2 113 , 2 119 , 2 223
Michoacán ,4 620 , 4 571 , 6 019 , 3 668 , 4 823 , 6 157 , 4 678 , 4 439 , 5 429 , 4 426 , 4 578 , 4 377
Morelos ,1 077 , 1 162 , 1 513 , 1 032 , 1 201 , 1 276 ,  963 , 1 195 , 1 478 , 1 182 , 1 151 ,  990
Nayarit ,  942 ,  953 , 1 066 ,  807 ,  857 , 1 138 ,  964 ,  959 , 1 106 , 1 288 ,  888 ,  999
Nuevo León ,  419 ,  378 ,  396 ,  275 ,  305 ,  356 ,  220 ,  255 ,  320 ,  239 ,  223 ,  307
Oaxaca ,1 258 , 1 577 , 1 860 , 1 225 , 1 518 , 1 934 , 1 694 , 1 620 , 1 734 , 1 599 , 1 493 , 1 382
Puebla ,  942 , 1 063 , 1 310 ,  935 , 1 045 , 1 249 ,  986 , 1 062 , 1 295 ,  950 ,  796 ,  891
Querétaro ,1 958 , 1 670 , 2 233 , 1 327 , 1 434 , 1 750 , 1 338 , 1 280 , 1 385 , 1 224 , 1 226 , 1 126
Quintana Roo ,  390 ,  347 ,  513 ,  327 ,  378 ,  481 ,  427 ,  428 ,  491 ,  457 ,  467 ,  397
San Luis Potosí ,  262 ,  226 ,  331 ,  202 ,  218 ,  346 ,  403 ,  344 ,  421 ,  288 ,  258 ,  347
Sinaloa ,  794 , 1 046 , 1 160 ,  770 ,  878 , 1 060 ,  899 ,  930 , 1 144 , 1 038 ,  927 ,  916
Sonora ,1 242 , 1 256 , 1 687 , 1 059 , 1 342 , 1 588 , 1 160 , 1 065 , 1 421 , 1 017 , 1 036 , 1 016
Tabasco ,  741 ,  749 ,  932 ,  650 ,  689 , 1 044 ,  716 ,  635 ,  731 ,  620 ,  564 ,  617
Tamaulipas ,  584 ,  644 ,  843 ,  591 ,  774 ,  834 ,  922 ,  762 ,  970 ,  703 ,  711 ,  552
Tlaxcala ,1 064 ,  994 , 1 371 ,  991 ,  994 , 1 377 ,  989 , 1 177 , 1 398 ,  958 ,  955 , 1 018
Veracruz ,  340 ,  351 ,  416 ,  266 ,  262 ,  331 ,  335 ,  331 ,  400 ,  302 ,  307 ,  316
Yucatán ,1 890 , 1 827 , 2 243 , 1 685 , 1 889 , 2 356 , 1 722 , 2 034 , 2 115 , 1 680 , 1 667 , 1 440
Zacatecas ,  783 ,  746 ,  964 ,  817 ,  916 , 1 019 ,  697 ,  708 ,  845 ,  767 ,  645 ,  653
Zacatecas,  373 ,  363 ,  497 ,  388 ,  484 ,  497 ,  350 ,  375 ,  394 ,  301 ,  313 ,  293
