Estado,< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,Ign.
Aguascalientes,0,0,0,0,4,16,1 133,588,1 255,569,821,1
Baja California,5,3,35,63,132,310,2 883,1 692,3 384,1 729,2 229,19
Baja California Sur,0,1,1,0,7,25,547,313,524,197,335,0
Campeche,4,3,5,4,10,32,904,590,998,421,424,2
Coahuila,0,8,10,17,23,154,3 332,2 292,4 667,2 539,3 364,14
Colima,0,0,0,0,0,17,474,282,611,279,514,2
Chiapas,2,9,13,17,33,93,2 866,2 009,3 689,1 768,2 767,30
Chihuahua,8,8,4,7,11,150,2 670,1 446,3 479,1 558,3 014,37
Distrito Federal,0,0,1,3,47,329,7 724,5 839,11 532,5 623,9 484,20
Durango,0,0,0,0,0,60,2 087,1 889,3 324,2 130,3 195,8
Guanajuato,0,0,0,2,14,149,4 047,2 317,5 288,2 541,4 408,54
Guerrero,0,0,2,2,21,96,3 213,1 939,3 801,1 611,3 052,27
Hidalgo,0,0,1,0,3,25,1 228,919,1 667,790,1 343,4
Jalisco,16,11,20,48,71,147,5 789,3 637,9 789,5 022,9 116,160
México,5,10,13,28,70,310,8 863,6 764,12 520,6 649,9 715,73
Michoacán,0,0,1,6,26,41,1 864,1 180,2 509,1 248,2 270,59
Morelos,0,0,2,2,1,31,1 895,1 644,2 750,1 445,2 185,27
Nayarit,0,0,0,1,9,29,661,537,1 253,609,1 066,1
Nuevo León,3,4,5,15,44,149,3 172,1 961,3 707,1 655,2 718,83
Oaxaca,0,0,0,0,3,174,2 588,1 773,3 060,1 537,1 901,24
Puebla,2,2,1,15,35,175,3 310,2 394,5 499,3 061,6 103,53
Querétaro,0,0,0,0,6,25,1 231,611,1 263,486,847,0
Quintana Roo,0,0,0,0,2,19,488,291,424,154,195,0
San Luis Potosí,0,0,0,0,12,101,2 568,1 569,3 349,1 536,2 581,15
Sinaloa,1,2,2,9,20,103,1 992,1 726,3 785,1 826,2 984,66
Sonora,9,1,2,2,19,64,1 947,1 310,2 917,1 284,2 040,52
Tabasco,56,5,10,8,17,93,1 887,1 279,1 888,784,935,14
Tamaulipas,2,8,4,11,21,89,3 070,1 739,3 449,1 479,2 443,18
Tlaxcala,0,1,0,2,3,18,720,547,1 030,447,711,5
Veracruz,0,1,4,11,25,140,4 237,2 592,4 962,2 002,3 121,26
Yucatán,0,0,3,11,11,51,1 595,1 053,2 404,1 005,1 753,8
Zacatecas,0,0,0,0,1,27,893,510,1 069,482,868,5
