Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Baja California ,  91 ,  89 ,  150 ,  115 ,  122 ,  255 ,  245 ,  294 ,  337 ,  219 ,  193 ,  247
Baja California Sur ,  545 ,  487 ,  586 ,  515 ,  513 ,  857 ,  689 ,  529 ,  653 ,  535 ,  438 ,  503
Campeche ,  85 ,  85 ,  96 ,  82 ,  61 ,  84 ,  60 ,  76 ,  72 ,  60 ,  51 ,  35
Coahuila ,  50 ,  74 ,  78 ,  90 ,  7 ,  85 ,  73 ,  63 ,  67 ,  62 ,  53 ,  134
Colima ,  612 ,  537 ,  643 ,  571 ,  475 ,  556 ,  404 ,  249 ,  468 ,  394 ,  323 ,  372
Chiapas ,  59 ,  61 ,  83 ,  54 ,  65 ,  80 ,  79 ,  63 ,  62 ,  54 ,  63 ,  84
Chihuahua ,  359 ,  367 ,  519 ,  427 ,  379 ,  436 ,  331 ,  349 ,  436 ,  386 ,  386 ,  354
Distrito Federal ,  636 ,  656 ,  788 ,  668 ,  627 ,  816 ,  610 ,  601 ,  651 ,  512 ,  512 ,  558
Durango , 1 192 , 1 270 , 1 457 , 1 152 , 1 100 , 1 463 , 1 086 , 1 139 , 1 253 , 1 056 , 1 065 , 1 112
Guanajuato ,  272 ,  271 ,  348 ,  310 ,  263 ,  323 ,  186 ,  236 ,  312 ,  279 ,  245 ,  295
Guerrero ,  577 ,  577 ,  721 ,  628 ,  513 ,  690 ,  444 ,  448 ,  541 ,  521 ,  445 ,  473
Hidalgo ,  410 ,  450 ,  447 ,  418 ,  365 ,  543 ,  408 ,  438 ,  447 ,  494 ,  343 ,  355
Jalisco ,  236 ,  227 ,  255 ,  220 ,  253 ,  306 ,  214 ,  203 ,  239 ,  202 ,  190 ,  186
México , 1 177 , 1 127 , 1 256 , 1 057 , 1 072 , 1 313 , 1 017 , 1 024 , 1 223 , 1 042 , 1 071 , 1 093
Michoacán , 2 051 , 1 873 , 2 570 , 2 027 , 1 785 , 2 627 , 1 794 , 1 678 , 2 046 , 1 807 , 1 799 , 1 694
Morelos ,  525 ,  453 ,  580 ,  446 ,  403 ,  622 ,  471 ,  593 ,  576 ,  490 ,  562 ,  597
Nayarit ,  335 ,  369 ,  438 ,  365 ,  294 ,  426 ,  310 ,  301 ,  414 ,  264 ,  327 ,  326
Nuevo León ,  104 ,  119 ,  148 ,  123 ,  138 ,  181 ,  89 ,  119 ,  107 ,  123 ,  122 ,  147
Oaxaca ,  588 ,  661 ,  677 ,  659 ,  649 ,  650 ,  511 ,  475 ,  509 ,  576 ,  604 ,  507
Puebla ,  383 ,  423 ,  486 ,  396 ,  422 ,  514 ,  406 ,  436 ,  437 ,  353 ,  388 ,  367
Querétaro ,  538 ,  587 ,  658 ,  595 ,  529 ,  633 ,  458 ,  482 ,  593 ,  512 ,  487 ,  574
Quintana Roo ,  190 ,  172 ,  238 ,  216 ,  213 ,  219 ,  168 ,  148 ,  187 ,  206 ,  162 ,  180
San Luis Potosí ,  109 ,  109 ,  138 ,  117 ,  129 ,  108 ,  84 ,  120 ,  104 ,  106 ,  104 ,  117
Sinaloa ,  377 ,  396 ,  483 ,  354 ,  426 ,  489 ,  363 ,  334 ,  411 ,  388 ,  360 ,  392
Sonora ,  509 ,  409 ,  525 ,  538 ,  445 ,  588 ,  430 ,  484 ,  548 ,  481 ,  399 ,  369
Tabasco ,  324 ,  334 ,  424 ,  387 ,  309 ,  435 ,  297 ,  351 ,  379 ,  309 ,  233 ,  248
Tamaulipas ,  297 ,  333 ,  278 ,  291 ,  265 ,  365 ,  257 ,  227 ,  302 ,  262 ,  211 ,  233
Tlaxcala ,  600 ,  595 ,  627 ,  609 ,  524 ,  471 ,  403 ,  479 ,  479 ,  439 ,  415 ,  465
Veracruz ,  146 ,  132 ,  175 ,  132 ,  125 ,  167 ,  108 ,  118 ,  148 ,  137 ,  131 ,  158
Yucatán ,  772 ,  823 ,  911 ,  710 ,  696 ,  871 ,  738 ,  727 ,  829 ,  744 ,  727 ,  720
Zacatecas ,  243 ,  270 ,  375 ,  313 ,  254 ,  323 ,  257 ,  271 ,  335 ,  291 ,  221 ,  263
Zacatecas,  122 ,  148 ,  159 ,  171 ,  148 ,  148 ,  151 ,  130 ,  165 ,  134 ,  121 ,  149
